First paint,First paint 3G
1388.4,6507.5
1086.7,6560
1231.5,6738.5
1048.6,6443.9
1190.1,6320
1235.9,6265.6
1220,6013.7
1216.6,6167
1280,6075.8
1249.3,6036.1
1334.9,5889.1
1119.9,6361.3
1274.1,5962.1
1051.6,6627.5
1356.1,6054
1203.9,6179.2
1243.1,6312.3
1172,6165.1
1406.1,6322.8
1253.9,6240
1288.7,5927.6
1153.5,6287.6
1219.9,6034.9
1024,6301.6
1397.4,6024.7
1269.2,6639.2
1394.7,5945
1119.5,5988.9
1160.8,6287.5
1146.2,6214.8
1158.6,6128.2
1213.7,6443.6
1683.9,5786.1
1463.8,6607
1163.5,6324.3
1269.3,6716.2
1067.1,6397.5
1070.3,6301.8
1173.2,6032.2
1247.6,6223.4
1283,6456
1068.1,6269.1
1221.6,6801.8
1054.7,6363.1
1250.3,6126.1
1047.7,6519.3
1262,5946.6
1263,6582.8
1268.7,5957.6
1133.1,6239.2
