First paint,First paint 3G
136.1,129.2
135.9,116.8
135.2,117.2
135,132.3
133.5,131
132.6,120.4
132.5,112.1
132.4,117.8
132,125
131.5,119.4
131.5,132.2
131.1,127.9
130.9,127.4
129.9,119.9
129.7,112
129.3,133.3
129.2,123
129.2,126.9
128.8,127.2
128.4,131
128.3,123
128.3,127.9
128,125.7
127.8,132.1
127.7,123.8
127.6,118.5
126.3,123.3
125.6,132.2
125.5,117
125.1,114.9
124.6,116.3
123.5,122.2
123.5,108.2
123.2,125.3
122.8,126
122.4,114.4
122.2,130.6
121,134.3
120.9,112.2
119.3,123.6
118.7,126.6
118,129.1
117.2,116.1
116.8,125
115.9,115.3
114.7,119.3
110.2,133.6
108.5,111.2
107.9,126.5
107,126.9
