First paint,First paint 3G
190.9,1780
289.4,1710
186.9,1460
228.6,1210
187,1350
185.9,1190
199.2,1230
277.5,1910
269.2,1800
200.4,1180
255.5,1230
188.2,1870
286.1,1330
196.5,1040
206.4,2110
252.9,1230
194.1,1750
255.5,1230
211.2,1980
212.3,1240
230.2,1680
220.4,1460
240.7,1230
288.9,1980
190.6,1200
183.6,1170
278.4,1960
205.4,1180
188.8,1930
187.9,1550
202.9,1780
242.2,1930
288.3,1250
186.2,1110
231.3,1200
189.7,1190
258.8,1940
183.7,1140
228.3,1070
239.6,1190
187,1290
215.3,1840
235.6,1590
222.9,1520
254.2,1190
187,1430
210.4,1890
272.4,1850
224.7,2480
249.8,1890
